8504,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h11v09.005.2012046171639.hdf,52800,57599,43200,47999,12017,017,2012
8505,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h11v10.005.2012046172105.hdf,52800,57599,48000,52799,12017,017,2012
8506,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h11v11.005.2012046172118.hdf,52800,57599,52800,57599,12017,017,2012
8507,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h11v12.005.2012046172143.hdf,52800,57599,57600,62399,12017,017,2012
8508,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h12v07.005.2012046170755.hdf,57600,62399,33600,38399,12017,017,2012
8509,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h12v08.005.2012046171712.hdf,57600,62399,38400,43199,12017,017,2012
8510,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h12v09.005.2012046172301.hdf,57600,62399,43200,47999,12017,017,2012
8511,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h12v10.005.2012046172111.hdf,57600,62399,48000,52799,12017,017,2012
8512,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h12v11.005.2012046172306.hdf,57600,62399,52800,57599,12017,017,2012
8513,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h12v12.005.2012046173058.hdf,57600,62399,57600,62399,12017,017,2012
8514,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h12v13.005.2012046171342.hdf,57600,62399,62400,67199,12017,017,2012
8515,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h13v08.005.2012046171147.hdf,62400,67199,38400,43199,12017,017,2012
8516,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h13v09.005.2012046171843.hdf,62400,67199,43200,47999,12017,017,2012
8517,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h13v10.005.2012046172511.hdf,62400,67199,48000,52799,12017,017,2012
8518,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h13v11.005.2012046172416.hdf,62400,67199,52800,57599,12017,017,2012
8519,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h13v12.005.2012046172043.hdf,62400,67199,57600,62399,12017,017,2012
8520,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h13v13.005.2012046172331.hdf,62400,67199,62400,67199,12017,017,2012
8521,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h13v14.005.2012046172226.hdf,62400,67199,67200,71999,12017,017,2012
8522,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h14v09.005.2012046172410.hdf,67200,71999,43200,47999,12017,017,2012
8523,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h14v10.005.2012046172008.hdf,67200,71999,48000,52799,12017,017,2012
8524,A2012017,/disks/d14/2012/MOD13Q1.A2012017.h14v11.005.2012046172027.hdf,67200,71999,52800,57599,12017,017,2012
8525,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h09v07.005.2012050023656.hdf,43200,47999,33600,38399,12033,033,2012
8526,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h09v08.005.2012050022515.hdf,43200,47999,38400,43199,12033,033,2012
8527,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h09v09.005.2012050011050.hdf,43200,47999,43200,47999,12033,033,2012
8528,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h10v07.005.2012050022629.hdf,48000,52799,33600,38399,12033,033,2012
8529,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h10v08.005.2012050012714.hdf,48000,52799,38400,43199,12033,033,2012
8530,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h10v09.005.2012050014708.hdf,48000,52799,43200,47999,12033,033,2012
8531,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h10v10.005.2012050022347.hdf,48000,52799,48000,52799,12033,033,2012
8532,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h10v11.005.2012050020356.hdf,48000,52799,52800,57599,12033,033,2012
8533,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h11v07.005.2012050020733.hdf,52800,57599,33600,38399,12033,033,2012
8534,A2012033,/disks/d14/2012/MOD13Q1.A2012033.h11v08.005.2012050024138.hdf,52800,57599,38400,43199,12033,033,2012
